sku,mfgn,qty,price,map,mrp,list,wt,1stclass
34299,"1000K",8,"15.58","","","26.49","0.65",1
34300,"1001K",13,"21.28","","","35.99","0.9",1
34301,"1002K",13,"25.43","","","42.49","1.1",0
34303,1010,13,"12.63","","","21.49","0.45",1
34304,1015,4,"23.99","","","40.49","1.3",0
34305,1021,3,"42.74","","","71.49","2.2",0
34306,1023,23,"12.31","","","20.99","0.5",1
34307,1025,8,"30.66","","","51.49","2.3",0
34308,1026,19,"58.10","","","97.49","2.85",0
34309,1028,0,"51.95","","","86.99","2.55",0
34310,1029,0,"56.96","","","95.49",3,0
34311,1036,1,"9.94","","","16.99","0.45",1
34312,1037,1,"9.94","","","16.99","0.4",1
34313,1170,0,"7.13","","","11.99","0.1",1
34314,1171,22,"7.35","","","12.49","0.15",1
34315,1172,11,"7.40","","","12.49","0.15",1
34316,1173,9,"7.44","","","12.49","0.2",1
34317,1179,5,"7.84","","","13.49","0.15",1
34318,1190,21,"8.89","","","14.99","0.05",1
34319,1180,8,"5.36","","","8.99","0.05",1
34320,1181,23,"4.69","","","7.99","0.05",1
34321,2125,23,"29.53","","","49.49","0.35",1
34322,2126,10,"18.01","","","30.49","0.2",1
34323,2127,5,"13.15","","","21.99","0.15",1
34329,3015,0,"17.29","","","28.99","0.25",1
34333,"230-BK",61,"15.16","","","25.49","1.35",0
34334,"230-WH",12,"15.16","","","25.49","1.35",0
34335,"231-BK",56,"16.13","","","26.99","1.3",0
34336,"231-WH",14,"16.13","","","26.99","1.3",0
34337,240,25,"31.58","","","52.99","2.05",0
34339,"241-BK",60,"4.65","","","7.99","0.25",1
34340,"241L-BK",0,"6.51","","","10.99","0.3",1
34341,"241-GR",13,"4.65","","","7.99","0.3",1
34343,"241-WH",10,"4.65","","","7.99","0.25",1
34344,"243-BK",48,"6.59","","","10.99","0.4",1
34345,"244-BK",33,"5.61","","","9.49","0.2",1
34346,"244L-BK",31,"7.50","","","12.99","0.2",1
34347,"244-WH",24,"5.61","","","9.49","0.2",1
34348,245,37,"10.23","","","17.49","0.5",1
34349,246,0,"32.24","","","53.99",2,0
34351,250,5,"14.40","","","24.49","1.15",0
34352,251,8,"15.98","","","26.99","1.1",0
34354,256,7,"68.65","","","114.99","5.2",0
34355,257,15,"28.99","","","48.49","2.3",0
34356,258,0,"16.13","","","26.99","0.95",0
34360,264,26,"18.24","","","30.49","0.8",1
34361,265,18,"17.21","","","28.99","0.6",1
34362,"280-BK",47,"13.64","","","22.99","1.1",0
34363,"280-WH",24,"13.64","","","22.99",1,0
34364,"281-BK",142,"11.30","","","24.49",1,0
34365,287,14,"10.73","","","17.99","0.55",1
34366,"330-BK",23,"20.49","","","34.49","1.55",0
34369,"344-BK",22,"7.01","","","11.99","0.25",1
34370,350,45,"14.13","","","23.99","1.15",0
34371,351,13,"15.10","","","25.49","1.1",0
34372,355,11,"17.21","","","28.99","1.05",0
34373,358,16,"16.38","","","27.49",1,0
34375,362,2,"18.78","","","31.49","1.65",0
34378,"400-BK",32,"28.25","","","47.49","2.2",0
34379,"CM-CF-4",6,"67.09","","","89.70","0.25",1
34380,"401-BK",9,"28.25","","","47.49","2.1",0
34382,"444-BK",13,"7.19","","","12.49","0.25",1
34385,459,17,"10.86","","","18.49","0.6",1
34386,825,8,"24.01","","","40.49","0.4",1
34387,828,2,"50.00","","","83.49","2.3",0
34392,"106-50",8,"56.39","","","69.95","0.7",0
34393,"106-52",4,"59.11","","","79.95","0.85",1
34394,"106-68",0,"56.36","","","69.95","0.95",0
34402,"AMA-24",0,"234.50","268.00","","335.00",10,0
34418,"854-2021-01",3,"84.12","","","130.00","2.85",0
34424,"1608DP0BLK",2,"42.43","","","79.76","0.65",1
34425,"1608DP1BLK",0,"41.71","","","78.42","0.55",1
34426,"1609DP0CHR",0,"48.83","","","91.79","0.75",0
34427,"1636DP0CHR",5,"53.13","","","99.88","0.9",0
34428,"1639DP0CHR",4,"53.13","","","99.88","0.95",0
34429,"1642DP0CHR",1,"57.81","","","108.69","1.1",0
34430,"0300DP0CHR",5,"24.75","","","52.33","0.55",1
